[2017-11-26 17:51:02,465]-[log.py]-INFO:获取角色错误提示文本
[2017-11-26 17:51:02,466]-[log.py]-INFO:获取密码错误提示文本
[2017-11-26 17:51:02,467]-[log.py]-INFO:获取邮箱错误提示文本
[2017-11-26 17:56:55,081]-[log.py]-INFO:点击项目
[2017-11-26 17:56:56,185]-[log.py]-INFO:点击添加区块
[2017-11-26 17:56:58,660]-[log.py]-INFO:输入任务区块名称
[2017-11-26 17:56:58,847]-[log.py]-INFO:编辑外观
[2017-11-26 17:56:59,246]-[log.py]-INFO:编辑类型
[2017-11-26 17:56:59,510]-[log.py]-INFO:编辑数量
[2017-11-26 17:56:59,666]-[log.py]-INFO:编辑排序
[2017-11-26 17:56:59,910]-[log.py]-INFO:编辑任务状态
[2017-11-26 17:57:00,112]-[log.py]-INFO:点击保存
[2017-11-26 18:05:11,399]-[log.py]-INFO:点击文档
[2017-11-26 18:05:12,571]-[log.py]-INFO:点击首页
[2017-11-26 18:05:12,661]-[log.py]-INFO:点击我的项目库
[2017-11-26 18:05:13,327]-[log.py]-INFO:选择所属分类
[2017-11-26 18:05:15,810]-[log.py]-INFO:选择授权用户
[2017-11-26 18:05:16,176]-[log.py]-INFO:选择授权分组
[2017-11-26 18:05:16,307]-[log.py]-INFO:输入文档标题
[2017-11-26 18:05:16,480]-[log.py]-INFO:点击段落
[2017-11-26 18:05:16,734]-[log.py]-INFO:输入文档正文
[2017-11-26 18:05:16,811]-[log.py]-INFO:输入关键字
[2017-11-26 18:05:16,878]-[log.py]-INFO:输入文档摘要
[2017-11-26 18:05:17,057]-[log.py]-INFO:上传附件
